Singular,Plural,Cost,Actions,Cards,Action,Treasure,Victory,Attack,Reaction,Duration,Ruins,Looter,Shelter,Knight,VP,Trash,Coins,Buys,CoinTokens,Index,Expansion,Abbreviation
"Wandering Minstrel","Wandering Minstrels",4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,"Dark Ages",WM
Advisor,Advisors,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,Guilds,Advi
Baker,Bakers,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,Guilds,Bak
Butcher,Butchers,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,Guilds,Butc
"Candlestick Maker","Candlestick Makers",2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,233,Guilds,Cand
Doctor,Doctors,3,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,234,Guilds,Doc
Herald,Heralds,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235,Guilds,Hera
Journeyman,Journeymen,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,Guilds,Jour
Masterpiece,Masterpieces,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,237,Guilds,Mast
"Merchant Guild","Merchant Guilds",5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,238,Guilds,MGui
Plaza,Plazas,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239,Guilds,Plaz
Soothsayer,Soothsayers,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,240,Guilds,Sooth
Stonemason,Stonemasons,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,241,Guilds,Ston
Taxman,Taxmen,4,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,242,Guilds,Taxm
